name,code,xREF,region,incomeGroup,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sweden,SWE,SWE,Europe & Central Asia,High income,5425627,5511783,5616067,5720204,5834351,5959398,6083367,6194186,6291760,6397326,6517403,6605244,6651027,6688293,6733350,6777603,6808217,6838299,6864113,6885080,6904971,6914338,6918294,6921426,6927719,6939171,6955328,6978575,7010722,7057653,7112392,7170001,7225787,7281393,7346937,7399093,7418835,7425561,7432163,7440437,7454878,7478923,7508835,7542470,7577769,7613645,7666670,7738188,7813274,7894625,7976659,8051674,8126023,8209668,8306173,8408901
Swaziland,SWZ,SWZ,Sub-Saharan Africa,Lower middle income,13665,15499,17555,19866,22480,25434,28721,31803,35234,39038,43269,47973,53204,58983,65373,72415,80187,86663,93233,100233,107678,115496,123756,132680,142615,153825,166562,175155,183125,190770,197634,203490,208501,212957,217360,222051,227185,232370,236075,239157,241314,242413,242682,242569,242668,243441,244998,247205,250018,253177,256431,259769,263262,266849,270511,274228
Sint Maarten (Dutch part),SXM,SXM,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31240,31084,30519,31189,32566,33790,35316,36934,38270,39462,40458,39133,35474,33435,34640,36607,37685,38817
Seychelles,SYC,SYC,Sub-Saharan Africa,High income,11540,12316,13118,13949,14819,15733,16693,17693,18736,19818,20940,22119,23438,24791,26173,27575,29001,30428,30975,31403,31792,32142,32454,32734,32987,33223,33448,33672,33906,34171,34481,34870,35343,35901,36549,37291,37913,38443,39297,40183,40663,40828,42230,41931,41944,42325,43385,43811,45021,45431,46967,46004,46726,47855,48953,50061
Syrian Arab Republic,SYR,SYR,Middle East & North Africa,Lower middle income,1690463,1773683,1863178,1957075,2055820,2159657,2268927,2383814,2504624,2631492,2764892,2887289,3009983,3137868,3270736,3408414,3550683,3697740,3851154,4012494,4183241,4363839,4544117,4729005,4917882,5108650,5300855,5494811,5690915,5889984,6092663,6298430,6506988,6719481,6937612,7180886,7437807,7703409,7972781,8238260,8495438,8733516,8954634,9179779,9439806,9752386,10142069,10592584,11034892,11371423,11536610,11494184,11279806,10985860,10748184,10667751
Turks and Caicos Islands,TCA,TCA,Latin America & Caribbean,High income,2729,2766,2787,2796,2798,2800,2800,2799,2805,2829,2878,2961,3073,3206,3342,3474,3594,3708,3828,3967,4158,4505,4900,5331,5775,6218,6649,7075,7516,8013,8587,9219,9947,10732,11515,12256,12922,13534,14173,14954,15960,17231,18698,20277,21819,23209,24403,25430,26325,27153,27964,28766,29540,30283,30989,31656
Chad,TCD,TCD,Sub-Saharan Africa,Low income,201024,213136,226027,239718,255829,278316,302541,328641,356939,387749,421643,458953,499935,542610,588235,636472,687305,740883,797896,822036,847819,875253,904496,935920,970107,1007275,1047940,1091970,1139113,1188586,1239924,1293170,1348459,1403643,1452153,1503461,1557468,1614089,1673943,1737548,1805244,1877402,1953636,2032987,2113781,2194910,2275892,2357262,2439714,2524721,2615181,2711576,2813805,2921914,3035484,3154360
Togo,TGO,TGO,Sub-Saharan Africa,Low income,159600,174770,191015,209045,230147,255440,286062,322365,363861,408976,450183,472146,492871,512679,532385,552643,573430,594659,617270,642423,671040,703580,740185,780140,821799,864061,906786,950134,993953,1038091,1082649,1127383,1172397,1218216,1265704,1315490,1367918,1422961,1480684,1541092,1604129,1669876,1738600,1810304,1885010,1962696,2043463,2127382,2214588,2304919,2398678,2495805,2596576,2700745,2808284,2919202
Thailand,THA,THA,East Asia & Pacific,Upper middle income,5389573,5583031,5784218,5993409,6210236,6434888,6666679,6905677,7151627,7404684,7704890,8140439,8595983,9068848,9557360,10057938,10571205,11095119,11631127,12179518,12695002,13074646,13453449,13834980,14223666,14621050,15032117,15453252,15874151,16278918,16648930,16934882,17191577,17432865,17678489,17943401,18232543,18540071,18862237,19192715,19680061,20655590,21664725,22689928,23713063,24712163,25678348,26610437,27524274,28445361,29397844,30369929,31353559,32338235,33303573,34233848
Tajikistan,TJK,TJK,Europe & Central Asia,Lower middle income,684599,718323,755144,794261,834579,875161,915660,956339,997742,1040657,1076627,1103319,1130822,1158729,1186172,1212779,1238347,1263283,1288140,1314523,1343320,1373379,1404397,1436993,1471828,1509098,1549221,1591428,1633378,1663240,1677015,1684318,1686069,1683466,1677765,1670341,1661237,1650781,1640158,1630788,1638464,1664255,1693179,1724678,1761123,1798939,1838160,1878827,1921096,1964964,2010363,2057349,2107089,2159467,2214326,2271610
Turkmenistan,TKM,TKM,Europe & Central Asia,Upper middle income,739576,768150,798002,828745,859830,890927,921766,952465,983322,1014906,1045665,1075176,1105511,1136376,1167452,1198437,1229359,1260319,1291358,1320387,1346902,1373569,1400409,1427725,1455757,1484794,1514584,1544990,1576618,1612464,1653351,1697180,1743161,1789137,1832086,1875977,1921229,1961646,1998320,2032899,2066737,2100046,2132732,2165381,2198702,2233763,2270962,2310334,2351863,2395328,2440426,2487307,2535931,2585983,2637036,2688739
Timor-Leste,TLS,TLS,East Asia & Pacific,Lower middle income,50407,52066,54389,56830,59402,62105,64898,67773,70801,74079,77669,81723,86179,90559,94182,96552,97287,96577,95213,94424,95203,98015,102698,108794,115441,121962,128105,134050,140085,146704,154279,162270,170779,179412,187083,192990,196593,198225,199115,201098,205552,213163,223521,235546,247493,257667,268277,279277,290669,302454,314665,338033,354247,371545,389462,407991
Tonga,TON,TON,East Asia & Pacific,Lower middle income,10812,11428,12133,12904,13704,14500,15287,15886,16322,16706,17032,17290,17483,17638,17791,17967,18179,18514,18929,19323,19675,19973,20230,20459,20684,20921,21179,21343,21436,21525,21603,21668,21725,21781,21845,21924,22021,22131,22252,22386,22528,22680,22839,23007,23179,23354,23533,23731,23937,24132,24312,24473,24619,24771,24952,25175
Trinidad and Tobago,TTO,TTO,Latin America & Caribbean,High income,147203,144618,141621,138286,134678,130905,126956,122897,118864,115055,112346,112602,113072,113696,114372,115026,115632,116203,116785,117430,117897,116861,115882,114858,113709,112375,110839,109114,107259,105355,104277,107518,110817,114150,117467,120756,123999,127215,130459,133814,136650,134834,133138,131538,129983,128422,126861,125309,123750,122237,120750,119290,117992,116838,115808,114859
Tunisia,TUN,TUN,Middle East & North Africa,Lower middle income,1583227,1623262,1670320,1722882,1779667,1839221,1903440,1983238,2064417,2146415,2229322,2307473,2389435,2476597,2570513,2670163,2766889,2872933,2986960,3106105,3228325,3353895,3483023,3615253,3733326,3908906,4095998,4264345,4424940,4546881,4725149,4887442,5056754,5174351,5366130,5506534,5623550,5737381,5847592,5961283,6059342,6158820,6258989,6355035,6449008,6528678,6610075,6690590,6775862,6865812,6954125,7055382,7142680,7234732,7328684,7424676
Turkey,TUR,TUR,Europe & Central Asia,Upper middle income,8683416,9051440,9424077,9807573,10202672,10610427,11085217,11603225,12142207,12704821,13294738,13867566,14444241,15043175,15661189,16295739,16877180,17436871,18010888,18604649,19221955,20306507,21617652,22977079,24374292,25792919,27065898,28276413,29496821,30725013,31966426,32932527,33775782,34622736,35481241,36355821,37248141,38156391,39078525,40008114,40942310,41931838,42952396,43975562,44992838,45997962,46981662,47948311,48932942,49983393,51134311,52404389,53767165,55163048,56507864,57738359
Tuvalu,TUV,TUV,East Asia & Pacific,Upper middle income,970,1026,1087,1151,1216,1281,1347,1412,1477,1543,1611,1681,1753,1827,1903,1980,2058,2137,2219,2307,2401,2503,2613,2728,2845,2962,3103,3243,3382,3521,3661,3803,3892,3948,4003,4057,4111,4164,4219,4275,4334,4397,4464,4570,4695,4818,4936,5052,5165,5275,5385,5494,5602,5710,5815,5922
Tanzania,TZA,TZA,Sub-Saharan Africa,Low income,528508,559540,592635,627776,665037,704516,746291,790637,870061,964069,1068304,1184198,1312548,1454142,1610088,1781160,1968821,2173711,2397994,2561075,2719586,2887304,3065571,3253967,3453086,3662263,3882123,4112942,4357525,4578739,4807528,5053141,5314547,5587156,5864989,6143041,6419705,6696829,6978741,7272200,7583184,7913013,8262537,8704485,9189076,9705848,10257659,10845963,11472109,12134106,12833626,13570481,14347079,15162455,16013708,16900930
Uganda,UGA,UGA,Sub-Saharan Africa,Low income,299835,323496,349410,377740,408456,441512,477413,516039,557482,601261,629483,654861,680404,706354,733456,762226,792929,825549,859874,895790,945348,1012702,1085030,1162713,1247071,1339037,1439370,1548339,1666106,1791961,1925493,2037827,2120497,2205239,2292027,2380764,2471531,2564468,2660984,2762472,2870398,2985133,3106845,3272763,3458485,3654207,3860893,4078906,4308524,4550004,4804014,5070531,5350804,5645834,5956863,6284604
Ukraine,UKR,UKR,Europe & Central Asia,Lower middle income,19962473,20539872,21128369,21720461,22307574,22924719,23525935,24111728,24688199,25262834,25818140,26350428,26888457,27426230,27958604,28469884,28968136,29453784,29930299,30387889,30827259,31287683,31693551,32110163,32533314,32933625,33344880,33766182,34209429,34541910,34641542,34734234,34854630,34894325,34741407,34487999,34203211,33912723,33630036,33333798,33019123,32707281,32432088,32238838,32075858,31932581,31801166,31694727,31605915,31547432,31506749,31480533,31492204,31512466,31519050,31500885
Uruguay,URY,URY,Latin America & Caribbean,High income,2037039,2069234,2100842,2131792,2162002,2191411,2220204,2248174,2274147,2296520,2314375,2327045,2335332,2341483,2348693,2359996,2381294,2406113,2433531,2461878,2489897,2517351,2544759,2571984,2599115,2626202,2653911,2681710,2709550,2737860,2767049,2797044,2827600,2858434,2889288,2919805,2950356,2981431,3010657,3036068,3056473,3071018,3080483,3087122,3094002,3103424,3116289,3131984,3149715,3168024,3185919,3203193,3220224,3236991,3253738,3270649
United States,USA,USA,North America,High income,126462473,129276215,131988693,134615404,137215986,139663053,142008703,144288757,146463196,148629124,150922373,152865492,154531732,156034954,157488501,159070594,160611122,162256678,164005080,165847531,167551171,169552427,171528659,173459636,175321738,177239105,179244877,181215212,183232441,185333919,187966119,191509147,195199459,198806845,202278113,205718394,209146726,212694273,216206090,219721677,223069137,225792302,228400290,230876596,233532722,236200507,238999326,241795278,244607104,247276259,249865648,252305243,254762355,257182694,259740511,262332398
Uzbekistan,UZB,UZB,Europe & Central Asia,Lower middle income,2986494,3096714,3215231,3341185,3473500,3611301,3754165,3902340,4056368,4216978,4395765,4596402,4805952,5022176,5242497,5464752,5687793,5912382,6140771,6340824,6505503,6676143,6851802,7031853,7215210,7400875,7588571,7777731,7967419,8124774,8239277,8344763,8468923,8588318,8682276,8758554,8844080,8953936,9066746,9132428,9226398,9306248,9382680,9453894,9524806,9597009,9675098,9780489,9912282,10061517,10337018,10612941,10773010,10953180,11158278,11382063
St. Vincent and the Grenadines,VCT,VCT,Latin America & Caribbean,Upper middle income,21000,21681,22342,22989,23635,24289,24954,25628,26316,27023,27755,28513,29299,30107,30933,31768,32613,33465,34325,35188,36052,36911,37767,38619,39474,40330,41193,42057,42911,43735,44518,45226,45691,46117,46518,46903,47274,47628,47984,48355,48754,49187,49652,50138,50626,51104,51571,52031,52477,52910,53330,53730,54115,54497,54899,55333
"Venezuela, RB",VEN,VEN,Latin America & Caribbean,Upper middle income,5019516,5320284,5620088,5932625,6255181,6584706,6921336,7264884,7614458,7968211,8326036,8686423,9039744,9392429,9753705,10125758,10509894,10905100,11311050,11726344,12150081,12581069,13010546,13444594,13888791,14343477,14809303,15284884,15767672,16253762,16740454,17221617,17700142,18177951,18656375,19135510,19615350,20094719,20574771,21055750,21538803,22022965,22462494,22878763,23294107,23707531,24119369,24528932,24935872,25339481,25739233,26134679,26525789,26913587,27299397,27683083
British Virgin Islands,VGB,VGB,Latin America & Caribbean,High income,983,1029,1080,1136,1195,1259,1327,1399,1475,1552,1631,1712,1795,1878,1959,2040,2117,2194,2275,2372,2502,2720,2974,3266,3594,3956,4356,4794,5262,5742,6224,6662,6868,7057,7246,7446,7662,7892,8133,8377,8623,8867,9112,9373,9666,10003,10391,10822,11278,11729,12154,12543,12902,13239,13571,13910
Virgin Islands (U.S.),VIR,VIR,Latin America & Caribbean,High income,18073,19732,21504,23454,25586,27843,30550,33464,36658,40070,43843,50253,54675,61379,66755,70730,73236,71887,75147,76059,77743,79413,83529,86026,90195,90180,90543,90870,90295,89671,91160,92529,93935,95289,96514,97506,98275,99008,99647,100156,100585,100597,100672,100790,100891,101029,101088,101035,100921,100752,100522,100241,99923,99567,99173,98742
Vietnam,VNM,VNM,East Asia & Pacific,Lower middle income,5107221,5325183,5551744,5788409,6035887,6295976,6569593,6857769,7161648,7481962,7819407,8043651,8276649,8517951,8766628,9020995,9281030,9544985,9811931,10081065,10335639,10566271,10787686,11010899,11248786,11515169,11823866,12157340,12495708,12883549,13371683,13868745,14374521,14901834,15439741,15973642,16518051,17071267,17638665,18243036,18921756,19605594,20290863,20995554,21729675,22477389,23233827,24005641,24793375,25599320,26420525,27262172,28124097,29000397,29896080,30806058
Vanuatu,VUT,VUT,East Asia & Pacific,Lower middle income,6627,6954,7299,7661,8034,8416,8804,9201,9614,10052,10524,11032,11575,12150,12752,13379,14031,14707,15401,16175,17044,17929,18832,19762,20729,21743,22807,23922,25102,26335,27442,28645,29938,31282,32625,33923,35158,36341,37526,38775,40108,41554,43126,44808,46563,48364,50207,52101,54047,56048,58104,60213,62369,64577,66836,69148
Samoa,WSM,WSM,East Asia & Pacific,Lower middle income,20562,21287,22070,22886,23710,24525,25330,26293,27286,28240,29140,29976,30572,31017,31414,31778,32113,32354,32547,32737,32935,33153,33369,33577,33768,33926,34045,34135,34222,34344,34527,34783,35196,35693,36181,36628,37023,37374,37703,38029,38375,38744,38746,38552,38364,38177,37991,37814,37649,37494,37351,37219,37098,37012,36949,36903
"Yemen, Rep.",YEM,YEM,Middle East & North Africa,Lower middle income,470134,496755,524905,554678,586178,619570,655059,692915,733057,774953,818779,851634,885577,921859,962390,1008498,1061187,1120312,1185770,1256624,1332538,1413560,1500544,1593323,1691714,1795821,1909692,2037147,2175249,2329376,2503578,2701434,2921583,3157296,3398535,3627237,3839768,4045433,4248549,4456235,4674270,4903705,5143987,5395469,5658586,5933149,6219980,6519446,6831192,7153685,7486205,7828370,8179969,8540861,8909519,9285556
South Africa,ZAF,ZAF,Sub-Saharan Africa,Upper middle income,8109841,8399326,8658586,8903772,9139544,9370223,9599611,9830978,10067056,10310037,10559574,10819530,11084193,11352234,11622975,11896394,12171388,12445771,12726720,13025604,13353678,13729219,14125510,14541577,14974472,15457327,16030130,16611117,17192090,17764357,18317024,18884286,19460034,20056350,20674472,21314923,21986936,22693093,23434493,24213567,25032040,25763818,26313539,26905047,27514986,28142705,28789909,29457425,30146612,30856403,31589214,32345537,33126929,33930251,34758629,35612634
"Congo, Dem. Rep.",COD,,Sub-Saharan Africa,Low income,3400359,3522083,3649223,3782289,3922381,4070453,4227188,4392203,4564506,4742128,4924037,5109316,5299047,5494447,5698642,5913596,6140782,6379936,6627965,6880813,7135477,7391720,7651829,7919957,8202581,8549813,8918859,9310272,9733063,10197118,10710117,11280182,11904175,12559556,13216419,13852257,14455747,15034877,15611142,16216335,16875652,17597421,18377741,19213482,20096496,21021236,21989608,23005313,24069151,25178591,26333943,27535897,28784230,30081142,31430382,32833760
Zambia,ZMB,ZMB,Sub-Saharan Africa,Lower middle income,553347,595601,641165,692380,759356,831970,910770,996044,1088553,1188745,1270304,1353048,1441472,1535462,1635291,1740767,1852129,1969365,2092999,2223331,2360829,2446266,2528637,2612569,2697442,2782707,2868463,2954544,3040409,3125321,3208968,3260019,3303341,3345437,3388329,3433429,3481470,3532131,3583891,3634857,3683868,3796872,3940099,4088339,4244211,4409400,4584997,4770889,4967147,5173371,5389528,5615921,5853564,6102551,6362742,6634179
Zimbabwe,ZWE,ZWE,Sub-Saharan Africa,Low income,473101,497024,524099,562238,603076,646516,692786,742096,794773,850131,903920,961553,1023260,1088724,1157765,1226221,1297482,1371821,1450808,1536519,1630641,1733601,1845365,1973072,2109567,2252341,2401366,2556414,2715731,2877253,3039325,3200712,3360903,3482765,3596257,3707293,3816531,3923554,4027367,4126364,4219744,4306783,4389331,4404403,4412893,4428985,4453786,4487076,4529077,4579794,4638775,4706484,4782430,4864823,4955055,5051547
